FE,N,Eval,p_target,Iteration,Alg
300119,30,Ellips100,0.6,2,cma-es-ppmf-dp-2-pt-0.6
300119,30,Ellips100,0.9,2,cma-es-ppmf-dp-2-pt-0.9
500199,50,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Ellips100,0.2,2,cma-es-ppmf-dp-2-pt-0.2
500199,50,Ellips100,0.3,2,cma-es-ppmf-dp-2-pt-0.3
500199,50,Ellips100,0.4,2,cma-es-ppmf-dp-2-pt-0.4
500199,50,Ellips100,0.5,2,cma-es-ppmf-dp-2-pt-0.5
500199,50,Ellips100,0.6,2,cma-es-ppmf-dp-2-pt-0.6
500199,50,Ellips100,0.9,2,cma-es-ppmf-dp-2-pt-0.9
3471,2,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3767,2,Sphere,0.2,3,cma-es-ppmf-dp-2-pt-0.2
4191,2,Sphere,0.3,3,cma-es-ppmf-dp-2-pt-0.3
5279,2,Sphere,0.4,3,cma-es-ppmf-dp-2-pt-0.4
8151,2,Sphere,0.5,3,cma-es-ppmf-dp-2-pt-0.5
17543,2,Sphere,0.6,3,cma-es-ppmf-dp-2-pt-0.6
11383,2,Sphere,0.9,3,cma-es-ppmf-dp-2-pt-0.9
12559,5,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
13739,5,Sphere,0.2,3,cma-es-ppmf-dp-2-pt-0.2
15619,5,Sphere,0.3,3,cma-es-ppmf-dp-2-pt-0.3
20399,5,Sphere,0.4,3,cma-es-ppmf-dp-2-pt-0.4
28579,5,Sphere,0.5,3,cma-es-ppmf-dp-2-pt-0.5
50019,5,Sphere,0.6,3,cma-es-ppmf-dp-2-pt-0.6
14859,5,Sphere,0.9,3,cma-es-ppmf-dp-2-pt-0.9
42719,10,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
56119,10,Sphere,0.2,3,cma-es-ppmf-dp-2-pt-0.2
97359,10,Sphere,0.3,3,cma-es-ppmf-dp-2-pt-0.3
66719,10,Sphere,0.4,3,cma-es-ppmf-dp-2-pt-0.4
78559,10,Sphere,0.5,3,cma-es-ppmf-dp-2-pt-0.5
100039,10,Sphere,0.6,3,cma-es-ppmf-dp-2-pt-0.6
39719,10,Sphere,0.9,3,cma-es-ppmf-dp-2-pt-0.9
300119,30,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.2,3,cma-es-ppmf-dp-2-pt-0.2
300119,30,Sphere,0.3,3,cma-es-ppmf-dp-2-pt-0.3
300119,30,Sphere,0.4,3,cma-es-ppmf-dp-2-pt-0.4
300119,30,Sphere,0.5,3,cma-es-ppmf-dp-2-pt-0.5
300119,30,Sphere,0.6,3,cma-es-ppmf-dp-2-pt-0.6
300119,30,Sphere,0.9,3,cma-es-ppmf-dp-2-pt-0.9
500199,50,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
500199,50,Sphere,0.2,3,cma-es-ppmf-dp-2-pt-0.2
500199,50,Sphere,0.3,3,cma-es-ppmf-dp-2-pt-0.3
