FE,N,Eval,d_param,Iteration,Alg
4687,2,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
5935,2,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
14639,5,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
12579,5,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
12419,5,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
11459,5,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
13519,5,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
42799,10,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
39919,10,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
40319,10,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
33599,10,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
49159,10,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
4319,2,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
3791,2,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
3639,2,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
3903,2,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
9999,2,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
14959,5,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
13079,5,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
12539,5,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
15539,5,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
17619,5,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
43879,10,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
40959,10,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
41639,10,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
40999,10,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
42919,10,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
4431,2,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
3655,2,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
3503,2,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
10799,2,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
5919,2,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
13579,5,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
12399,5,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
12079,5,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
15179,5,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
19339,5,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
41159,10,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
39239,10,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
39719,10,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
