FE,N,Eval,lambda,Iteration,Alg
208362,100,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
291047,100,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
358189,100,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
407816,100,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
461420,100,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
674673,100,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
3321,2,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
2651,2,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
3736,2,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
5426,2,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
7825,2,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
9623,2,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
12524,2,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
20019,2,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
6390,5,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
3467,5,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
5655,5,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
8843,5,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
12039,5,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
15237,5,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
19037,5,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
34033,5,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
4454,10,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
4589,10,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
7776,10,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
13265,10,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
18059,10,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
22856,10,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
27053,10,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
48047,10,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
5763,30,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
7649,30,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
12826,30,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
21506,30,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
31604,30,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
39297,30,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
47594,30,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
85084,30,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
61610,50,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
13106,50,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
20098,50,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
35576,50,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
47256,50,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
60951,50,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
69137,50,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
111110,50,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
546666,100,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
26213,100,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
39490,100,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
65525,100,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
93309,100,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
121101,100,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
144788,100,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
233232,100,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
3486,2,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
2651,2,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
4039,2,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
5627,2,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
7524,2,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
10425,2,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
12524,2,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
5565,5,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
3875,5,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
5655,5,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
9245,5,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
12942,5,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
16039,5,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
19037,5,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
35034,5,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
4465,10,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
4844,10,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
8079,10,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
13868,10,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
18962,10,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
23658,10,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
28055,10,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
50049,10,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
7369,30,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
11117,30,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
19290,30,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
28139,30,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
34915,30,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
45312,30,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
53606,30,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
89088,30,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
63480,50,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
23612,50,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
35652,50,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
54068,50,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
71035,50,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
85011,50,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
91682,50,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
141140,50,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
487915,100,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
54161,100,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
81910,100,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
128237,100,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
168258,100,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
201702,100,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
239477,100,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
382381,100,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
3585,2,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
2600,2,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
