FE,N,Eval,sigma,Iteration,Alg
2639,5,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
2459,5,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
2719,5,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
4919,10,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
4519,10,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
4199,10,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3959,10,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
3719,10,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
4119,10,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
4159,10,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
24119,30,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
25319,30,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
23399,30,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
20399,30,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
17039,30,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
18239,30,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
20159,30,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
65199,50,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
63599,50,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
60399,50,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
54399,50,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
48399,50,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
45599,50,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
44999,50,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
245599,100,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
241999,100,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
218399,100,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
209999,100,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
189199,100,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
174399,100,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
187999,100,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
4695,2,Ellips100,0.001,3,cma-es-ppmf-dp-2-pt-0.1
4535,2,Ellips100,0.01,3,cma-es-ppmf-dp-2-pt-0.1
4111,2,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3599,2,Ellips100,1,3,cma-es-ppmf-dp-2-pt-0.1
3447,2,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
3119,2,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
2615,2,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
3199,5,Ellips100,0.001,3,cma-es-ppmf-dp-2-pt-0.1
3139,5,Ellips100,0.01,3,cma-es-ppmf-dp-2-pt-0.1
2779,5,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
2779,5,Ellips100,1,3,cma-es-ppmf-dp-2-pt-0.1
3139,5,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
2999,5,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
3179,5,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
5639,10,Ellips100,0.001,3,cma-es-ppmf-dp-2-pt-0.1
5719,10,Ellips100,0.01,3,cma-es-ppmf-dp-2-pt-0.1
5639,10,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
4999,10,Ellips100,1,3,cma-es-ppmf-dp-2-pt-0.1
4479,10,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
4599,10,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
4999,10,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
37919,30,Ellips100,0.001,3,cma-es-ppmf-dp-2-pt-0.1
36119,30,Ellips100,0.01,3,cma-es-ppmf-dp-2-pt-0.1
36479,30,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
33959,30,Ellips100,1,3,cma-es-ppmf-dp-2-pt-0.1
32639,30,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
30119,30,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
31319,30,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
112599,50,Ellips100,0.001,3,cma-es-ppmf-dp-2-pt-0.1
105199,50,Ellips100,0.01,3,cma-es-ppmf-dp-2-pt-0.1
99599,50,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
99599,50,Ellips100,1,3,cma-es-ppmf-dp-2-pt-0.1
90399,50,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
