FE,N,Eval,p_target,d_param,Iteration,Alg
38599,10,Sphere,0.9,50,1,cma-es-ppmf-dp-50-pt-0.9
54999,10,Sphere,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
41719,10,Sphere,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
41519,10,Sphere,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
56439,10,Sphere,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
38359,10,Sphere,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
48919,10,Sphere,0.6,100,1,cma-es-ppmf-dp-100-pt-0.6
44839,10,Sphere,0.9,100,1,cma-es-ppmf-dp-100-pt-0.9
110039,30,Sphere,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
68399,30,Sphere,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
47519,30,Sphere,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
34439,30,Sphere,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
26159,30,Sphere,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
21119,30,Sphere,0.6,0.1,1,cma-es-ppmf-dp-0.1-pt-0.6
77039,30,Sphere,0.9,0.1,1,cma-es-ppmf-dp-0.1-pt-0.9
57119,30,Sphere,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
30839,30,Sphere,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
20999,30,Sphere,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
17399,30,Sphere,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
21839,30,Sphere,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
26999,30,Sphere,0.6,0.3,1,cma-es-ppmf-dp-0.3-pt-0.6
30959,30,Sphere,0.9,0.3,1,cma-es-ppmf-dp-0.3-pt-0.9
39599,30,Sphere,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
21239,30,Sphere,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
16319,30,Sphere,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
19199,30,Sphere,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
23639,30,Sphere,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
27119,30,Sphere,0.6,0.5,1,cma-es-ppmf-dp-0.5-pt-0.6
300119,30,Sphere,0.9,0.5,1,cma-es-ppmf-dp-0.5-pt-0.9
23159,30,Sphere,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
15839,30,Sphere,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
17879,30,Sphere,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
20759,30,Sphere,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
20879,30,Sphere,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
30479,30,Sphere,0.6,1,1,cma-es-ppmf-dp-1-pt-0.6
300119,30,Sphere,0.9,1,1,cma-es-ppmf-dp-1-pt-0.9
